id,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,con
290041,46Xi Per,Menkib,3.98275007,35.79103224,408.8811,0.778,2.621,70,3.98,-4.078,O7,0.016,167.128,286.479,239.126,2.64E-05,4.83E-05,4.61E-05,Per
305466,38Omi-1 Eri,Beid,4.19776094,-6.83757967,38.3,10.233,81.858,11,4.04,1.124,F1 IV,0.327,17.284,33.873,-4.56,4.21E-06,1.24E-05,1.38E-05,Eri
309538,40Omi-2 Eri,Keid,4.254537,-7.652871,5.0098,-2240.085,-3421.809,-42.7,4.43,5.931,K1V,0.82,2.1911,4.4555,-0.6674,2.48E-05,-7.28E-05,-7.66E-05,Eri
314752,54Gam Tau,Prima Hyadum,4.32988998,15.6276446,46.1584,116.247,-23.368,39,3.65,0.329,G9III,0.981,18.823,40.27,12.434,-6.71E-06,4.71E-05,5.71E-06,Tau
318515,61Del-1 Tau,Secunda Hyadum,4.38224798,17.54251527,49.2388,106.212,-27.692,39,3.77,0.308,K0III,0.983,19.295,42.801,14.841,-6.67E-06,4.69E-05,5.72E-06,Tau
319791,43 Eri,Beemim,4.40061542,-34.01685264,89.8715,67.572,48.489,24,3.97,-0.798,K4 III,1.468,30.2881,68.0568,-50.2777,-1.38E-05,4.14E-05,3.78E-06,Eri
325151,74Eps Tau,Ain,4.47694409,19.18043252,44.712,107.526,-36.2,39,3.53,0.278,K0III,1.014,16.396,38.917,14.69,-5.85E-06,4.61E-05,5.69E-06,Tau
325205,78The-2 Tau,Chamukuy,4.4777058,15.87088179,45.8453,106.148,-20.294,40,3.4,0.094,A7III,0.179,17.1133,40.6425,12.5372,-6.00E-06,4.66E-05,6.85E-06,Tau
328542,,Hoggar,4.52373696,4.57529046,186.2965,1.403,-10.49,61.606,8.38,2.029,G8 IV,1.008,69.998,172.005,14.861,2.28E-05,5.93E-05,-4.42E-06,Tau
333416,52Ups-2 Eri,Theemin,4.59251087,-30.56233717,64.7245,-49.422,-12.543,-4,3.81,-0.245,G8 III,0.957,20.075,51.992,-32.911,1.25E-05,-1.07E-05,-1.31E-06,Eri
